time,x,y,z,x^,y^,z^,x^^,y^^,z^^,phi,theta,psi,phi^,theta^,psi^,phi^^,theta^^,psi^^
14.7009,0.6616211,0.4243164,0.5878906,-0.746920616,0.21480104,0.64440112,-22.64872257,14.64465187,3.317038988,-0.06597345,0.03543019,0.06658431,-0.195437912,1.197056589,-0.793965007,11.72704434,36.15120633,-12.21165781
14.7509,0.7248535,0.4128418,0.5559082,1.264648,-0.229492,-0.639648,40.23137232,-8.885860796,-25.6809824,-0.07452556,0.0561996,0.03543019,-0.1710422,0.4153882,-0.6230824,0.487914248,-15.63336777,3.41765214
14.8009,0.7050781,0.3989258,0.5566406,-0.395508,-0.27832,0.014648,-33.20312,-0.97656,13.08592,-0.086132,-0.1203405,-0.005497787,-0.2321288,-3.530802,-0.81855954,-1.221732,-78.923804,-3.9095428
14.85091,0.6914063,0.4050293,0.559082,-0.273381324,0.122045591,0.048818236,2.442045116,8.005710676,0.683268073,-0.09101892,0.07635815,0.01710423,-0.097718856,3.933186363,0.45194995,2.687661343,149.2499173,25.40510878
14.90091,0.7419434,0.4262696,0.5632324,1.010742,0.424806,0.083008,25.68246647,6.055208182,0.683795273,-0.09407325,-0.04886922,0.04581489,-0.0610866,-2.5045474,0.5742132,0.732645125,-128.7546753,2.445265
14.95091,0.6750488,0.4213867,0.5410156,-1.337892,-0.097658,-0.444336,-46.97268,-10.44928,-10.54688,-0.07696902,0.07330383,0.05864307,0.3420846,2.443461,0.2565636,8.063424,98.960168,-6.352992
15.00092,0.5893555,0.4482422,0.9169922,-1.713523295,0.537002599,7.518028394,-7.511123682,12.69067385,159.2154448,-0.1728749,0.7269297,0.1521055,-1.917734053,13.06990342,1.868874825,-45.1873356,212.4863511,32.23977655
15.05092,0.7529297,0.3942871,0.5720215,3.271484,-1.079102,-6.899414,99.70014591,-32.32209199,-288.3488479,-0.05925393,-0.4434882,0.0158825,2.2724194,-23.408358,-2.72446,83.80306906,-729.5652284,-91.8666965
15.10092,0.5998535,0.3981934,0.5678711,-3.061524,0.078126,-0.083008,-126.66016,23.14456,136.32812,-0.03176499,0.0299324,-0.05497787,0.5497788,9.468412,-1.4172074,-34.452812,657.5354,26.145052
15.15092,0.7729492,0.4245605,0.5725098,3.461914,0.527342,0.092774,130.46876,8.98432,3.51564,0.006108652,0.1484403,-0.0299324,0.75747284,2.370158,0.5009094,4.1538808,-141.96508,38.362336
