time,x,y,z,phi,theta,psi
12.11182,0.6672363,0.7436523,-0.1081543,-0.1356121,-0.08735373,0.1264491
12.16187,0.6733398,0.7180176,-0.09326172,-0.1734857,-0.1979203,0.08979719
12.21191,0.6826172,0.7109375,-0.09667969,-0.1716531,-0.213192,0.07513642
12.26196,0.670166,0.7355957,-0.08398438,-0.2235767,-0.2150246,0.07391469
12.31201,0.6804199,0.7285156,-0.09326172,-0.2712242,-0.185703,0.08674286
12.36206,0.6635742,0.7260742,-0.0637207,-0.3097087,-0.2229658,0.04948008
12.41211,0.6230469,0.7202148,-0.07226563,-0.3347542,-0.1117883,0.06597345
12.46216,0.6813965,0.7619629,-0.1035156,-0.2553417,-0.1447751,0.08979719
12.51221,0.6359863,0.7458496,-0.06884766,-0.2736676,-0.2443461,-0.0158825
12.56226,0.5966797,0.7568359,-0.1030273,-0.1685988,-0.1050688,0.01954769
12.6123,0.6538086,0.7575684,-0.078125,-0.1362229,0.05009095,0.02260201
12.66235,0.6887207,0.7492676,-0.07958984,-0.08796459,-0.06169739,0
12.7124,0.6901855,0.7424316,-0.06933594,-0.08002335,-0.1020145,-0.006108652
12.76245,0.6826172,0.7387695,-0.03491211,-0.07391469,-0.1154535,0.02321288
12.8125,0.644043,0.7385254,-0.01098633,-0.1386664,-0.1020145,0.009773844
12.86255,0.6918945,0.7412109,-0.05175781,-0.2272419,0.06352998,0.09162979
12.9126,0.7004395,0.7463379,-0.08300781,-0.2015855,-0.007941248,0.07330383
12.96265,0.6826172,0.7436523,-0.05371094,-0.1985312,-0.1875356,0.07574729
13.0127,0.6401367,0.7353516,-0.05175781,-0.1716531,-0.1661554,0.04581489
13.06274,0.6525879,0.7072754,-0.05126953,-0.1905899,-0.1685988,-0.01038471
13.11279,0.6616211,0.7299805,-0.05737305,-0.1826487,-0.086132,-0.1215622
13.16284,0.6745605,0.7253418,-0.06884766,-0.1918117,-0.08552113,-0.1392773
13.21289,0.6586914,0.75,-0.08813477,-0.226631,-0.2138028,-0.1136209
13.26294,0.6665039,0.7731934,-0.1604004,-0.1582141,-0.2889393,-0.03115413
13.31299,0.6296387,0.7431641,-0.08227539,-0.2162463,-0.3738495,-0.05681047
13.36304,0.6191406,0.7038574,-0.1118164,-0.2553417,-0.09712757,-0.08674286
13.41309,0.6418457,0.7658691,-0.1179199,-0.299324,-0.07147124,-0.1557706
13.46313,0.625,0.7712402,-0.1240234,-0.2822197,-0.1215622,-0.1765401
13.51318,0.6235352,0.7839355,-0.1384277,-0.3042109,0.01038471,0.02504547
13.56323,0.6308594,0.8300781,-0.177002,-0.2217441,-0.02015855,0.09712757
13.61328,0.595459,0.8254395,-0.1772461,-0.1020145,-0.09590584,0.1111775
13.66333,0.579834,0.7956543,-0.1323242,0.0421497,0.1350012,0.1020145
13.71338,0.5883789,0.7497559,-0.1206055,0.1960877,0.24007,-0.02565634
13.76343,0.6069336,0.7780762,-0.1037598,0.2504548,0.3213151,-0.1227839
13.81348,0.6271973,0.7675781,-0.09008789,0.2681699,0.3591888,-0.08185595
13.86353,0.6162109,0.75,-0.09106445,0.2816089,0.357967,-0.07024951
13.91357,0.6293945,0.7600098,-0.07910156,0.2290745,0.3463606,-0.05314527
13.96362,0.621582,0.7504883,-0.06811523,0.2339614,0.2840523,-0.1136209
14.01367,0.6313477,0.7358398,-0.03369141,0.1905899,0.312763,-0.163101
14.06372,0.6784668,0.7731934,-0.0168457,0.1319469,0.1991421,-0.2406809
14.11377,0.6777344,0.7839355,-0.02880859,0.1362229,0.07391469,-0.2339614
14.16382,0.6376953,0.7683105,-0.02416992,0.07147124,0.04337143,-0.2229658
14.21387,0.6591797,0.7949219,-0.04589844,0.05314527,0.06719518,-0.07330383
14.26392,0.6472168,0.7873535,-0.04418945,0.04886922,0.02443461,-0.05986479
14.31396,0.6411133,0.7844238,-0.04516602,0.03237586,-0.03787364,0.0122173
14.36401,0.6193848,0.7683105,-0.04418945,0.004886922,-0.08246681,0.05070182
14.41406,0.597168,0.7810059,-0.05004883,-0.02687807,-0.08246681,0.06230826
14.46411,0.5808105,0.7719727,-0.05908203,-0.07452556,-0.0439823,0.05742133
14.51416,0.5734863,0.777832,-0.0559082,-0.06475171,0.02504547,0.06963864
14.56421,0.5930176,0.795166,-0.04882813,-0.08979719,0.06475171,0.0561996
14.61426,0.6083984,0.7858887,-0.05029297,-0.06780604,0.1075123,0.03176499
14.66431,0.6176758,0.7907715,-0.04394531,-0.04459316,0.08368854,0.02382374
14.71436,0.6264648,0.7895508,-0.02368164,-0.01954769,0.06963864,0.06291912
14.7644,0.6220703,0.7895508,-0.01220703,-0.02138028,0.04520403,0.06414085
14.81445,0.6154785,0.7729492,0.0004882813,-0.06475171,0.02015855,0.0580322
14.8645,0.6181641,0.7741699,0.002929688,-0.07574729,0.02504547,0.05375614
14.91455,0.6218262,0.765625,0.01123047,-0.09651671,-0.002443461,0.03665191
14.9646,0.6269531,0.7651367,0.0144043,-0.149662,-0.0280998,0.01649336
15.01465,0.6176758,0.7802734,0.007568359,-0.1508837,-0.05314527,0.03665191
15.0647,0.6005859,0.7797852,0.007080078,-0.1667662,-0.05436701,0.01282817
15.11475,0.6032715,0.7900391,0,-0.131336,-0.02443461,0.005497787
15.16479,0.6057129,0.7976074,-0.002929688,-0.1209513,-0.03481932,-0.0006108652
15.21484,0.6176758,0.8049316,-0.02026367,-0.06414085,-0.04153884,0.01832596
15.26489,0.6066895,0.817627,-0.02124023,0.01649336,-0.04642576,0.04642576
15.31494,0.5979004,0.7822266,-0.02563477,0.08796459,-0.01160644,0.05497787
15.36499,0.605957,0.7883301,-0.01391602,0.1099557,0.02321288,0.03848451
15.41504,0.6105957,0.7675781,-0.008789063,0.1386664,0.03420845,-0.008552114
15.46509,0.6105957,0.7668457,-0.008789063,0.1374447,0.08063421,-0.02321288
15.51514,0.6196289,0.7751465,-0.001220703,0.1081231,0.1020145,-0.05925393
15.56519,0.6208496,0.7631836,-0.009277344,0.07635815,0.1191187,-0.04948008
15.61523,0.6171875,0.7766113,-0.0144043,0.06352998,0.1343904,-0.04092797
15.66528,0.6135254,0.7827148,-0.015625,0.03665191,0.1551598,-0.04337143
15.71533,0.6181641,0.7893066,-0.02026367,0.03359759,0.1508837,-0.02443461
15.76538,0.6162109,0.793457,-0.02124023,0.04092797,0.1246165,-0.001832596
15.81543,0.6149902,0.7961426,-0.01879883,0.05375614,0.12706,0.01649336
15.86548,0.6142578,0.7888184,-0.01928711,0.06841691,0.08979719,0.03665191
15.91553,0.6086426,0.7871094,-0.0168457,0.08002335,0.09040806,0.02871067
15.96558,0.6179199,0.7890625,-0.009277344,0.08124508,0.08796459,0.01527163
16.01563,0.6247559,0.7702637,-0.015625,0.07330383,0.0720821,0.004276057
16.06567,0.6218262,0.776123,-0.01831055,0.07330383,0.06597345,0.005497787
16.11572,0.6225586,0.7758789,-0.01977539,0.06414085,0.05925393,0.003665192
